,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
6728,12003237,JD178231,2020-02-02T22:00:00.000,001XX N KILDARE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1114,011,28,26,05,1147706,1900335,2020,2020-03-11T15:48:51.000,41.882473684,-87.733082617,"{'latitude': '41.882473684', 'longitude': '-87.733082617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6729,12001633,JD174907,2020-03-03T11:00:00.000,028XX S KEDZIE AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1033,010,12,30,05,1155499,1884710,2020,2020-03-11T15:48:51.000,41.839443835,-87.704886404,"{'latitude': '41.839443835', 'longitude': '-87.704886404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6730,12114657,JD307639,2020-07-23T18:45:00.000,079XX S PAULINA ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0611,006,17,71,05,1166389,1852143,2020,2020-07-30T15:47:03.000,41.749850478,-87.66585289,"{'latitude': '41.749850478', 'longitude': '-87.66585289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6731,12002228,JD177444,2020-02-20T09:00:00.000,012XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0132,001,3,33,05,1178108,1894689,2020,2020-03-11T15:48:51.000,41.866342973,-87.621618551,"{'latitude': '41.866342973', 'longitude': '-87.621618551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6732,12001134,JD176066,2020-03-04T15:00:00.000,001XX W 103RD PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0512,005,34,49,05,1177168,1836326,2020,2020-03-11T15:50:54.000,41.706210326,-87.626829881,"{'latitude': '41.706210326', 'longitude': '-87.626829881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6733,11999499,JD173854,2020-03-04T04:20:00.000,024XX W MADISON ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1125,011,27,28,05,1160221,1899945,2020,2020-03-11T15:50:54.000,41.881154091,-87.687137956,"{'latitude': '41.881154091', 'longitude': '-87.687137956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6734,11999861,JD174612,2020-03-04T23:00:00.000,024XX W 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,0832,008,17,66,05,1161436,1857512,2020,2020-03-11T15:50:54.000,41.764687815,-87.683854359,"{'latitude': '41.764687815', 'longitude': '-87.683854359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6735,12000304,JD175194,2020-03-04T21:00:00.000,065XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0723,007,6,68,05,1171763,1861454,2020,2020-03-26T15:45:12.000,41.77528493,-87.645887594,"{'latitude': '41.77528493', 'longitude': '-87.645887594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6736,12118055,JD308545,2020-07-22T09:30:00.000,081XX S INDIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,0631,006,6,44,05,1179004,1851179,2020,2020-07-30T15:44:49.000,41.746927302,-87.619655645,"{'latitude': '41.746927302', 'longitude': '-87.619655645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6737,12118578,JD307775,2020-07-20T07:00:00.000,043XX S ELLIS AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0222,002,4,39,05,1183653,1876392,2020,2020-08-15T15:45:40.000,41.81600695,-87.601834735,"{'latitude': '41.81600695', 'longitude': '-87.601834735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6738,12114852,JD307803,2020-07-23T22:51:00.000,020XX W BELMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - PORCH / HALLWAY,False,False,1931,019,32,5,05,1162252,1921246,2020,2020-07-30T15:47:03.000,41.939563368,-87.679083636,"{'latitude': '41.939563368', 'longitude': '-87.679083636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6739,12114302,JD307402,2020-07-23T15:45:00.000,006XX E 91ST PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,0633,006,8,44,05,1182073,1844445,2020,2020-07-30T15:47:03.000,41.728378036,-87.608617914,"{'latitude': '41.728378036', 'longitude': '-87.608617914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
